gene_name,SM0909_LR-L,SM0909_LR-R,SM1913_L-L,SM1914_R-R,SM0907_L-R,SM0908_R-L,SM0908_R-R,SM2026_L-L,SM2027_LR-L
Gsta3,2.552104955,2.588667527,2.429196117,2.373844479,-2.210657004,-1.825105661,-1.798255592,-2.383956022,-1.725838798
Gclm,1.4587823,1.532095466,1.403451425,1.440158522,-1.237160842,-1.141274144,-1.082006163,-1.368044293,-1.006002271
Acss2,2.615447211,2.975924663,2.696852459,2.820182573,-2.021114528,-1.864527273,-1.955781672,-2.519609036,-2.747374398
Cat,1.428347025,1.126264423,1.268751677,1.300377602,-1.126069519,-1.003848015,-1.054937184,-0.973328859,-0.965557149
Panx1,1.483043303,1.481452863,1.439411454,1.720550637,-1.111040416,-1.264998933,-1.127764475,-1.422961633,-1.197692801
Gstm1,1.38069521,1.213353274,1.143104622,1.287055803,-1.120370679,-1.051306748,-1.031812424,-0.948743696,-0.871975362
Prdx6,1.576463608,1.57343165,1.710841402,1.217396185,-1.208066831,-1.106827094,-1.06642052,-1.487271597,-1.209546801
Ttc12,1.495079517,1.34441162,1.41835615,1.416010647,-0.932497473,-0.944211898,-1.1677491,-1.244803582,-1.384595881
Rnf128,1.340938291,1.566583638,1.418377097,1.600691059,-1.024756798,-1.183789359,-0.944937904,-1.516419008,-1.256687017
Gstm2,1.751662506,1.463612827,1.499325195,1.908089026,-1.219800656,-1.129028096,-1.330394022,-1.64289784,-1.30056894
Prkar2b,1.171546306,1.076720867,1.087673836,1.02057173,-0.700920893,-0.986717864,-0.981682676,-0.758153149,-0.929038156
Mmp8,1.877835629,1.971010062,2.098801396,1.674664465,-1.33095257,-1.639317042,-1.241766516,-2.050321363,-1.35995406
A530064D06Rik,1.008794879,1.015550519,1.011159031,1.16609823,-0.744975563,-0.766280521,-0.735083344,-0.953620121,-1.00164311
Akr1b8,1.916499071,1.312121742,1.625653165,1.342816554,-1.300461246,-1.141728325,-1.086781669,-1.30256591,-1.365553381
Nqo1,2.118411287,2.080793399,1.718853056,1.85277081,-1.329688729,-1.211484381,-1.407011427,-2.000286411,-1.822357603
Gbe1,1.077082592,0.90728972,1.301824742,1.1101705,-0.769323032,-0.898911659,-0.863427975,-0.968228916,-0.896475972
Gsr,1.232387016,1.325329721,1.162001939,1.036016847,-1.017685749,-0.809407616,-0.744417811,-1.067731721,-1.116492625
Creg1,0.778041086,0.723186695,0.703469694,0.862977482,-0.659635167,-0.604978021,-0.619163908,-0.675732303,-0.508165558
Tsku,1.862145837,1.415006273,1.97357922,1.407800401,-1.608058018,-1.093324898,-1.241665411,-1.18724488,-1.528238526
Heph,3.069353306,2.591542876,2.920913699,3.893906742,-2.117626546,-2.419132234,-2.213316435,-2.628793832,-3.096847576
Cd24a,1.522998882,1.790503364,1.086196143,1.622947433,-1.325561065,-1.211773615,-0.899272504,-1.39555221,-1.190486428
Gss,1.540542272,1.6229901,1.431992972,1.217390935,-1.052304539,-0.930104459,-0.956018366,-1.600468249,-1.274020666
B3galnt2,0.776880421,0.809252312,0.779817008,0.739386276,-0.6495738,-0.70609788,-0.669223973,-0.576477562,-0.503962802
S100a11,0.973357168,0.845077946,0.676359043,0.874969578,-0.80522581,-0.695472116,-0.668114009,-0.606164315,-0.594787487
Slc36a2,2.062941302,2.439116518,1.924586889,3.442131609,-1.793980985,-2.293353639,-1.621733862,-2.070457126,-2.089250706
Smpdl3a,0.685088593,0.723817153,0.739903832,0.526932563,-0.497549109,-0.565997444,-0.547554802,-0.588723386,-0.4759174
Tarm1,1.197850358,1.306998075,0.851326375,1.471638505,-0.905621737,-1.092261291,-0.983960435,-1.091011437,-0.754958413
Slpi,2.378909086,3.010548356,2.572411917,2.296999291,-2.284481138,-1.964001913,-2.047978767,-2.901623377,-1.060783455
Megf9,1.264211984,1.034792388,1.452479721,1.58504756,-1.128926807,-1.072263572,-1.130218647,-0.688639874,-1.316482753
Ptgr1,1.354206034,1.447889966,1.441638526,0.956201212,-1.106320889,-1.098022961,-0.972300612,-1.332096192,-0.691195084
Tmem165,0.862584358,0.664859658,0.745087057,0.878805226,-0.457111463,-0.725839966,-0.620716572,-0.692442477,-0.655225821
Rgs16,1.424852079,1.365862398,1.780422944,1.423899689,-1.381468563,-1.396365412,-1.381200791,-0.997517926,-0.838484418
Mthfd1l,0.758384626,0.733180731,0.815001726,0.646735731,-0.511958226,-0.586228247,-0.556401456,-0.772008078,-0.526706808
Slc16a9,2.603226903,1.412297301,2.239985546,2.297645061,-2.460696664,-1.685006977,-1.763391302,-1.448743389,-1.19531648
C1galt1c1,0.644149885,0.85667201,0.777700338,1.022523556,-0.570111777,-0.658784231,-0.624989591,-0.667176435,-0.779983754
Glis3,2.087879477,1.537735396,2.076804238,2.635265685,-2.340219439,-1.702170498,-1.489408525,-1.829018728,-0.976867608
Rnase2b,1.83322874,2.148188129,1.52771263,2.214941112,-1.851818322,-1.672204739,-1.313340135,-1.801955159,-1.084752255
Pla2g7,0.838007194,0.877269966,0.845848611,1.072384629,-1.028033134,-0.715391396,-0.743629049,-0.634839296,-0.511617525
Pygl,0.903525935,0.804671807,0.821675009,0.606307437,-0.494080526,-0.771749586,-0.737694489,-0.510098835,-0.622556751
Mpc1,0.67025282,0.554224032,0.632716889,0.634314173,-0.417584273,-0.413659084,-0.521530328,-0.542840345,-0.595893885
Erich3,4.23465054,1.711841631,3.086098341,2.347529219,-2.628507296,-1.804110236,-2.678310322,-2.056695584,-2.212496293
Tuba4a,0.818882478,0.826098336,0.676260472,0.5209457,-0.635115625,-0.52409188,-0.599192786,-0.517749858,-0.566036837
Tnfrsf23,1.100696146,0.813226986,0.780423958,1.008381998,-0.83277326,-0.627111011,-0.534538579,-0.814290364,-0.894015874
Ggt5,1.202566193,0.80879206,0.984523179,1.022481378,-0.950510372,-0.841805635,-0.959000204,-0.480476602,-0.786569997
Ptgir,1.333038647,1.361659333,1.015165099,1.228856045,-1.227056388,-1.309653008,-1.068577744,-0.576479918,-0.756952066
Gpi1,0.726687901,0.5793274,0.610198706,0.427915574,-0.483215871,-0.508573219,-0.45196613,-0.449303735,-0.451070626
Bst1,1.190690979,0.996175767,1.141997082,0.733314294,-1.070661162,-0.951541775,-0.83684643,-0.606033706,-0.597095048
Homer3,0.997942638,0.709588314,0.799610338,0.742696766,-0.604800892,-0.779708855,-0.628237414,-0.800390827,-0.436700068
Zadh2,0.889186011,0.685918867,0.746563757,0.860216017,-0.472575863,-0.671193995,-0.483796262,-0.732499537,-0.821818996
Clec4d,1.010141304,0.849163628,1.121455596,0.719828826,-0.975823049,-0.792829395,-0.813480815,-0.633107533,-0.485348563
Atp1a3,0.581084181,0.808252538,0.675415932,0.989943467,-0.515991873,-0.695664936,-0.535126225,-0.721441075,-0.586472009
Ptger2,0.797934069,1.330208834,1.146785673,1.062481161,-0.741053962,-0.821581221,-0.678531979,-1.291022189,-0.805220386
Fbxl5,0.999214127,0.993792006,1.244200232,1.284541068,-1.23003651,-0.967710445,-1.083106593,-0.77006957,-0.470824314
Layn,1.383525899,0.859315341,1.348372093,1.457297895,-0.851184808,-0.853849317,-0.92752726,-0.872014607,-1.543935237
Phospho1,0.981819928,0.913254507,1.211791534,1.286128408,-0.9757045,-1.152453986,-1.019858344,-0.760172714,-0.484804833
Foxq1,2.532231203,2.491029305,1.585779614,2.746963439,-1.771282874,-1.665092508,-1.907769657,-2.005929261,-2.005929261
Tshz1,1.011915965,0.806474693,0.721543401,1.324871637,-0.863171084,-0.853052989,-0.863485331,-0.576417022,-0.70867927
Cgnl1,1.606251127,1.191424352,1.349160153,1.29196434,-1.528747045,-1.323163667,-1.268045991,-0.759549508,-0.55929376
Mcemp1,1.252544481,1.483264776,1.242550567,1.107961343,-1.14258504,-0.978600667,-0.568965846,-1.574306689,-0.821862925
Fam13a,1.52820361,0.878226864,1.436012738,1.454878988,-1.504896093,-0.681023621,-1.001994051,-1.121970826,-0.987437609
Esd,0.942068229,1.308266308,0.93504911,0.814143701,-0.719040904,-0.622351765,-0.618368379,-1.167780095,-0.871986206
Papss2,1.246472364,0.987294931,1.229488207,1.229771047,-0.979969739,-1.417218762,-1.023400958,-0.474332356,-0.798104734
Dach1,1.268345386,1.739957288,1.257096084,1.794540075,-1.280298341,-0.673507693,-1.230414097,-1.140934529,-1.734784174
Hopx,0.955170377,1.928071083,1.329359913,0.976086755,-1.205667464,-1.026025388,-0.86838188,-1.164653546,-0.92395985
Ncf2,0.473901941,0.523725164,0.362969833,0.457473075,-0.318499963,-0.412555609,-0.389035248,-0.375459488,-0.322519707
F10,1.228646764,1.338479148,1.409057275,0.753260455,-0.949052877,-1.201259207,-1.082412291,-1.026293435,-0.470425832
Slc39a4,0.899237994,1.202839451,1.253540005,1.394040962,-1.483275852,-0.731360845,-1.008705445,-0.936769492,-0.589546777
Tmc8,1.093560814,0.884712256,0.7774387,1.193030375,-0.479402854,-0.776402551,-0.645840232,-0.942940159,-1.104156348
Grina,0.794516854,0.752012505,0.786517281,0.862425594,-0.952316865,-0.659720951,-0.707826708,-0.506485022,-0.369122688
Procr,1.586836086,1.566860411,1.363031016,1.469856959,-1.667682863,-1.041636566,-1.254619629,-1.606848744,-0.415796671
Sort1,1.318991336,0.950477999,1.425670996,1.474783928,-1.068763386,-1.455063704,-1.323774836,-0.864143295,-0.458179037
Ptpn1,0.703486264,0.563753041,0.624420812,0.413609815,-0.499696395,-0.533529339,-0.491947543,-0.457489536,-0.32260712
Wfs1,1.192455739,0.829139171,1.165607372,1.716529303,-0.583028274,-0.984877655,-1.259342451,-1.204975156,-0.87150805
Chil3,2.49775753,3.524993712,1.465210952,4.185852606,-1.629929425,-2.618680857,-2.101690238,-2.645894528,-2.677619754
Kcnn3,2.111608857,1.258820575,2.194553269,2.409466842,-1.538144334,-1.650961172,-1.707782904,-2.065760972,-1.011800161
Chchd10,1.165428712,0.620261177,0.931141748,1.071242314,-0.78365643,-0.621292365,-0.590157599,-0.881581545,-0.911386012
Cbr3,1.470939512,1.554674555,1.333685038,0.959705455,-0.58889345,-0.912273585,-0.804085068,-1.470836219,-1.542916237
Armcx4,1.644838841,1.706490898,1.260338691,2.188474833,-0.746981619,-1.07662781,-1.413430635,-1.653475431,-1.909627768
Cd36,0.971943175,1.260401159,0.955964309,1.538578197,-1.205830314,-1.255915551,-1.009567372,-0.845481299,-0.410092304
Emb,0.779829622,0.702716582,0.842370693,0.644979628,-0.552818763,-0.802373536,-0.636626675,-0.699673303,-0.278404247
Degs1,0.478537872,0.514278891,0.532771225,0.583541605,-0.277967226,-0.509657384,-0.354517308,-0.554255518,-0.412732156
Sell,1.129793986,1.245882135,1.789012317,0.858603459,-1.337991265,-1.24645879,-1.107449121,-0.635720361,-0.695672358
Mgst1,0.855003427,1.127692179,0.660103224,0.657271547,-0.555417766,-0.507423259,-0.551629054,-0.774952712,-0.910647584
Lrp8,0.684860742,0.51539363,0.490043126,0.708905491,-0.38266009,-0.424737142,-0.447068548,-0.624760973,-0.519976236
Ttc39c,0.635252632,0.780250953,0.702865034,0.40727398,-0.45645186,-0.50707401,-0.399785661,-0.539812743,-0.622518325
Pcdhac2,2.525607016,1.251985942,2.010065638,2.029888999,-1.696361833,-1.329473204,-0.828077003,-1.322889328,-2.640746227
Tnfsf4,1.769518232,1.278433161,2.055969557,2.612069144,-1.237402471,-1.250482742,-2.052345992,-1.437921323,-1.737837568
Chst11,0.427102761,0.814636104,0.690286582,0.546872191,-0.478380613,-0.492739948,-0.505717678,-0.431747078,-0.570312321
Trim9,1.427723667,2.102002619,1.31464888,1.921274598,-1.826192276,-1.211695456,-1.064749572,-1.127399774,-1.535612685
Blvrb,0.984273597,0.911574606,0.796707875,0.429917585,-0.588782481,-0.459708412,-0.550004269,-0.808714446,-0.715264054
Spsb4,1.022463429,1.421309497,1.480002738,0.995066001,-0.724680752,-1.406018543,-1.068037561,-1.212829029,-0.507275781
Fabp7,1.427897555,2.054413077,1.612845,1.698024269,-1.364741234,-1.700046207,-1.215824242,-2.063820869,-0.448747349
Dennd3,1.19781724,1.462908573,1.088013551,1.816764332,-0.885914408,-0.662335536,-1.058577615,-1.193514106,-1.765162032
Card19,0.486800913,0.584915777,0.641233315,0.412181957,-0.496078685,-0.444672619,-0.531627932,-0.31920871,-0.333544016
Lipa,0.67780257,0.694668907,0.651259656,1.278981468,-0.762745439,-0.696094968,-0.634184204,-0.582062609,-0.627625381
Nnmt,2.204380849,1.421243904,2.561944206,0.736451123,-1.383882942,-1.149220154,-1.155209075,-1.68004031,-1.555667601
Treml4,1.008888827,1.275375123,0.604468221,1.298204403,-1.10510394,-0.586994935,-0.577100409,-1.049818701,-0.867918589
Met,0.745374166,0.94119814,0.937059387,0.803103043,-1.030991095,-0.723704265,-0.789371683,-0.562294698,-0.320372996
Hal,2.21347819,1.548248313,2.576813539,1.141788308,-1.605042851,-1.76847722,-2.063317081,-1.321170367,-0.722320831
Srxn1,1.098779223,1.050254746,1.112662168,1.419028045,-1.27065921,-1.156241833,-1.215824684,-0.70604903,-0.331949426
Il36g,3.320715751,3.772412044,3.181893864,3.421337882,-2.332158831,-2.806618001,-2.879107903,-4.155780119,-1.522694687
Pkn3,0.910202029,0.703234725,0.789230073,0.950555653,-0.79962976,-0.511418637,-0.399740909,-0.740550772,-0.901882403
Prdx1,0.641719719,1.284567764,0.737278226,0.99711462,-0.653275287,-0.617502385,-0.581409214,-1.114074856,-0.694418588
Slc22a4,1.120859974,1.332052893,1.212921678,1.398798978,-1.231252858,-1.372436999,-1.345417142,-0.798810122,-0.316716402
Adgrl2,1.223686496,1.013835446,0.69807061,0.895111161,-1.228318873,-0.451397621,-0.671870092,-0.699637561,-0.779479567
Fgr,0.510391367,0.560983574,0.444328559,0.56190373,-0.504366251,-0.55286647,-0.437904359,-0.322658493,-0.259811657
Tnfrsf26,0.496677626,0.767025638,0.975437099,1.155973787,-0.540718697,-0.809372583,-0.552258495,-0.647458065,-0.84530631
Gpc1,0.784796671,0.94990388,1.131276638,1.077701978,-0.799489387,-0.690141355,-0.763843264,-1.316656174,-0.373548986
Pde1c,1.906902392,2.469436542,1.390625863,2.374872371,-1.776352669,-1.105294266,-1.46330802,-1.898441107,-1.898441107
Ptgfrn,1.180934569,1.141951997,0.99434936,1.08346303,-0.713895523,-0.496803374,-0.534564071,-1.412404934,-1.243031055
Hsd11b1,1.915779993,1.676519472,2.104246667,1.544162554,-1.617458002,-1.499341048,-1.686807139,-2.037911897,-0.3991906
Dapk1,0.800845426,0.522839012,0.764802656,0.667538677,-0.771123153,-0.601458394,-0.666671119,-0.403146959,-0.313626145
Kctd1,1.004290212,0.881369156,0.89310226,1.082302708,-0.716104284,-0.435803126,-0.670741782,-1.057481962,-0.980933181
Ampd3,0.929913069,0.513906438,1.003762586,1.250861539,-0.784712725,-0.932486567,-0.955742273,-0.589097091,-0.436404975
Cd177,1.16560782,1.474795837,1.775265559,0.68504579,-1.005404916,-1.110513184,-1.173166213,-0.527827532,-1.28380316
Ccl9,0.653384082,0.585467216,0.542586636,0.399065908,-0.220135973,-0.481104344,-0.458984281,-0.535830672,-0.484448573
Txnrd1,0.650078889,0.688271388,0.675378176,0.692428075,-0.712333248,-0.66405295,-0.696884576,-0.406390111,-0.226495643
H6pd,0.453223506,0.466351855,0.586113369,0.483304272,-0.525808241,-0.395378055,-0.330155647,-0.240234732,-0.497416328
Nfil3,0.376087026,0.56136231,0.486174306,0.383621099,-0.383755693,-0.432079762,-0.424368368,-0.316902349,-0.25013857
Itgb2,0.656947122,0.589215868,0.568753574,0.476692715,-0.597899823,-0.57875229,-0.534887125,-0.346716772,-0.233353269
Agpat4,0.713243126,0.824289279,0.507161308,0.588558676,-0.619777077,-0.654223163,-0.58635628,-0.539865503,-0.233030367
Ceacam10,1.977189938,0.943136773,1.757350195,1.788183043,-1.082293162,-1.103907476,-1.242244759,-1.518707277,-1.518707277
Zdhhc18,0.485625271,0.717376048,0.473211612,0.93258599,-0.457557167,-0.574618483,-0.38277016,-0.522427384,-0.671425727
Matk,0.911612825,1.274686104,0.615105071,0.719720266,-0.645826738,-0.606037973,-0.847625394,-0.964120109,-0.457514053
Nol3,1.562929131,0.954008714,1.603437751,0.938279989,-1.004748725,-1.451920674,-1.008485168,-0.518429707,-1.075071311
Ecm1,1.452349434,0.716339741,1.030431333,0.810472346,-1.082699365,-0.991962878,-0.940668511,-0.365232654,-0.629029445
Serpinb12,0.968770158,1.598991265,0.73058461,1.539567613,-0.787918969,-1.228522396,-1.092413273,-1.034081539,-0.69497747
Lamc1,0.648060581,0.373714178,0.750349911,0.443057376,-0.444225717,-0.313179202,-0.534574028,-0.440216499,-0.482986601
Slc48a1,0.692825104,0.319172353,0.670147763,0.718696224,-0.594118943,-0.586674676,-0.501495176,-0.397072999,-0.32147965
Me1,1.016181658,0.908445956,1.082196101,1.266267633,-0.511336881,-0.453547126,-0.797086919,-1.476388634,-1.034731787
Msantd3,0.877977002,1.266787609,1.090346736,0.766163938,-1.043019933,-0.347599396,-0.675161794,-1.190161296,-0.745332866
Ugp2,0.350114428,0.557091556,0.479473608,0.679288884,-0.286141673,-0.454978602,-0.329682118,-0.462192395,-0.53297369
Asap2,1.248167671,0.597639284,1.142820134,1.322405637,-1.047185882,-1.004763633,-1.184835131,-0.78039443,-0.29385365
Chil4,1.300558195,2.353258563,0.698335551,2.920834468,-1.127952883,-1.407510976,-1.313940278,-1.822310777,-1.601271862
Slc36a1,0.423103327,0.32012111,0.556340312,0.667222765,-0.295261884,-0.441114415,-0.3737381,-0.402892365,-0.45378075
Clmn,2.282828203,0.808700534,1.884822657,1.656198014,-1.393137268,-1.737235843,-1.867916349,-0.397806031,-1.236453918
Pgd,0.86267492,0.921316037,0.738959763,0.601653785,-0.407239391,-0.457169572,-0.392062018,-0.944074737,-0.924058788
Dap,0.771080716,0.653706683,0.614678775,0.722195653,-0.339601261,-0.407140276,-0.398394631,-0.690449347,-0.926076312
Cd5l,3.595181011,1.714668144,3.061977777,2.154861024,-2.625072655,-2.425189688,-2.457783798,-0.930079172,-2.088562642
Acap1,1.003422854,1.446478225,0.741709331,1.397922086,-0.667847137,-0.4964543,-0.733363818,-1.187533365,-1.504333876
Dcun1d3,0.343414595,0.4303302,0.556284614,0.549263456,-0.368356634,-0.406209396,-0.42018948,-0.425561276,-0.258976078
Oit3,1.720331068,1.970850365,1.243156135,1.748357962,-0.776868061,-0.769917679,-1.060851164,-2.416406465,-1.658652161
Tspan5,0.567281831,0.532453892,0.70151309,1.057604711,-0.548494076,-0.839431071,-0.551798376,-0.525202352,-0.393927648
Aldoc,0.59332569,0.864983602,0.709907327,0.962860556,-0.490801102,-0.690149709,-0.29044766,-0.674065707,-0.985612996
Pir,0.89446549,1.331853986,1.117032652,0.730686324,-0.526061691,-0.633528688,-0.523439674,-1.152175436,-1.238832963
Cavin3,1.688768155,0.654514806,1.558091941,1.010020993,-0.968185539,-0.47084203,-0.939733148,-1.05761075,-1.475024428
Mmp12,1.029249751,1.08346313,0.799251181,1.775076158,-0.638060367,-0.803458228,-0.774638669,-1.727994887,-0.74288807
Ugt1a2,0.801620163,0.400196898,0.657965642,0.505717499,-0.534138136,-0.681692315,-0.482473268,-0.365568775,-0.301627707
Ugt1a10,0.802107659,0.400684394,0.658298074,0.503349945,-0.53365064,-0.681204819,-0.481985772,-0.366458629,-0.301140211
Ugt1a9,0.802107659,0.400684394,0.658298074,0.503349945,-0.53365064,-0.681204819,-0.481985772,-0.366458629,-0.301140211
